gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
PPP1R12A,6.083605173457809,5534,0.19838480643863063,0.03260973385783033,0.000999000999000999,0.003911520355322307,True,True,False
PPP1R12B,13.272373142201879,5533,0.15715263408142832,0.011840572870725166,0.000999000999000999,0.00391222729917832,True,True,False
PPP1R12C,2.3488150245632173,14262,0.08805454790798015,0.037488913983852096,0.026973026973026972,0.04097963458501952,True,False,False
PPP1R13B,2.0103089128964444,15270,0.027905951537074775,0.013881414570151261,0.04195804195804196,0.0595381043318175,False,False,False
PPP1R13L,6.640031528448845,5532,0.40431854036035153,0.060891047313217754,0.000999000999000999,0.003912934498617795,True,True,False
PPP1R14A,8.847751020741804,5531,2.067828761803821,0.233712348875855,0.000999000999000999,0.003913641953779361,True,True,False
PPP1R14C,7.988742325457031,5530,0.16653910990888837,0.02084671444349502,0.000999000999000999,0.003914349664801744,True,True,False
PPP1R15A,3.6660291577179063,11605,0.0893645434234637,0.02437637643307815,0.012987012987012988,0.024248392710262592,True,False,False
PPP1R15B,4.151219479421136,8478,0.024716173952242078,0.005953944994373992,0.001998001998001998,0.0051064764440560614,True,True,False
PPP1R16A,3.1212170333147484,12760,0.08331042758529092,0.02669163838460939,0.016983016983016984,0.028839185892477432,True,False,False
PPP1R16B,3.6202226151984043,5529,0.1800227393682282,0.0497269704935358,0.000999000999000999,0.003915057631823774,True,True,False
PPP1R17,2.0425740686114304,15953,0.10025825084731538,0.04908425694923837,0.056943056943056944,0.07734232795349827,False,False,False
PPP1R18,9.966811217861695,5528,0.21872079246844078,0.02194490173631015,0.000999000999000999,0.003915765854984379,True,True,False
PPP1R1A,5.865698106193659,5527,0.6546129597230476,0.11160016918955531,0.000999000999000999,0.003916474334422588,True,True,False
PPP1R1B,16.048045572842824,5526,2.2471981345447176,0.14002938637381893,0.000999000999000999,0.003917183070277532,True,True,False
PPP1R1C,1.790840327140596,16946,0.004197816458005448,0.002344038430441607,0.08891108891108891,0.11368614862064644,False,False,False
PPP1R21,3.8869729676019675,5506,0.09794886100298583,0.025199254779918055,0.000999000999000999,0.0039314118500460675,True,True,False
PPP1R26,3.318912164122812,11214,0.03872272635836407,0.011667284716911702,0.011988011988011988,0.02316356730481931,True,False,False
PPP1R27,15.190164622410657,5505,0.20198037324799203,0.013296776326463,0.000999000999000999,0.00393212600297069,True,True,False
PPP1R32,10.800843583312957,9598,0.14583117330182313,0.013501821794613596,0.004995004995004995,0.01127649179326612,True,False,False
