gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
OVOL2,36.6180734203365,6260,2.3238704745461307,0.06346238049418498,0.000999000999000999,0.0034578839690660775,True,True,True
ENSMFAG00000030025,21.407078735364653,6281,2.1049858465815516,0.09833128838047914,0.000999000999000999,0.00344632282221838,True,True,True
OSBPL3,20.93373906464389,6302,1.399633393323099,0.06686016194544164,0.000999000999000999,0.0034348387252227303,True,True,True
OTOS,38.256805200235966,6303,2.1696919213173107,0.05671387162082933,0.000999000999000999,0.003434293772228089,True,True,True
KLHL13,11.943203101964363,6340,0.7511453984271366,0.06289311774925445,0.000999000999000999,0.0034142513637781774,True,True,True
OLFM1,39.4335026141403,6361,1.2611195577590364,0.031980906585046556,0.000999000999000999,0.0034029796645737537,True,True,True
NUDT4,28.618363591485522,6437,0.5418389426384258,0.01893325083814354,0.000999000999000999,0.0033628015607198455,True,True,True
NUAK1,29.443700690386446,6464,1.4090640694768,0.047856204960671306,0.000999000999000999,0.003348755205190849,True,True,True
NTRK1,17.26634567839274,6467,1.299403799244269,0.075256435309696,0.000999000999000999,0.0033472017390372114,True,True,True
NT5C1A,19.528459796525226,6490,0.6676629234842828,0.03418921590111702,0.000999000999000999,0.0033353395448927035,True,True,True
ENSMFAG00000030665,15.070399346649545,6495,0.7285184663226593,0.048341009342969414,0.000999000999000999,0.0033327719239959423,True,True,True
NRN1,18.57320242904329,6504,3.1690093430025934,0.17062265752916825,0.000999000999000999,0.0033281601547284203,True,True,True
ENSMFAG00000031052,18.991371503350422,6590,2.3822999172144708,0.12544116294499716,0.000999000999000999,0.0032847274121932694,True,True,True
ENSMFAG00000040743,14.477183531982769,6666,2.6161695076135687,0.18070982916408657,0.000999000999000999,0.00324727777473052,True,True,True
NLRP6,20.485187912628074,6680,2.40795259564508,0.11754602403763262,0.000999000999000999,0.0032404721027475517,True,True,True
NLK,31.606877912606663,6694,1.1528540546133916,0.03647477431122,0.000999000999000999,0.0032336948978717727,True,True,True
ENSMFAG00000040641,21.75862117373487,6747,1.2849571392416932,0.05905507115527019,0.000999000999000999,0.0032082931149182816,True,True,True
NEUROD6,19.63341877258919,6794,3.3630438056282657,0.17129179834891134,0.000999000999000999,0.003186098564373513,True,True,True
NEUROD2,7.437372101773115,6795,2.2806933551583177,0.30665310940148677,0.000999000999000999,0.003185629675695901,True,True,True
NEUROD1,12.377477149308337,6796,1.8784817665035032,0.15176611679979574,0.000999000999000999,0.003185160925007894,True,True,True
NCALD,32.459283276945335,6906,1.9806822262230934,0.06102050635964189,0.000999000999000999,0.00313442711357568,True,True,True
ENSMFAG00000032887,46.492427009194124,6912,3.568324659058617,0.07675065432546019,0.000999000999000999,0.0031317062567062567,True,True,True
ENSMFAG00000033090,38.112707014214436,6925,2.1615362669407383,0.05671431013828292,0.000999000999000999,0.003125827241350707,True,True,True
LHX8,17.2063374385204,6973,1.0350487350552335,0.06015507755152247,0.000999000999000999,0.003104310002345281,True,True,True
LHFPL3,15.008063736796341,7027,0.5862592217253989,0.03906293855931517,0.000999000999000999,0.0030804544821906427,True,True,True
ENSMFAG00000033848,13.299362288629089,7043,0.8380070444238807,0.0630110597217696,0.000999000999000999,0.003073456431400489,True,True,True
LMO4,31.953047606454216,7148,1.7865496761947584,0.055911704531852416,0.000999000999000999,0.00302830912791741,True,True,True
MPPED1,27.526323503337032,7208,3.2571752155244917,0.11832945797742978,0.000999000999000999,0.003003101227296566,True,True,True
LRFN2,12.47324297109642,7293,1.0364517355419545,0.08309399674256637,0.000999000999000999,0.0029681000474912444,True,True,True
MKX,19.74659873889522,7298,2.583170398035604,0.13081595644527386,0.000999000999000999,0.002966066545129302,True,True,True
LPL,19.91231405735077,7319,3.1854330896183125,0.1599730137502149,0.000999000999000999,0.00295755617520886,True,True,True
