gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
MFSD4A,47.58462039800837,345,3.221180417246638,0.06769371940887134,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
KALRN,47.38421024981838,349,1.4619017494849116,0.030852076418186422,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
RTN4RL2,47.008097222737184,356,7.96214318737547,0.16937811117024573,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
OSBPL3,46.96705443917505,358,3.0078327345344995,0.06404132217316855,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
DSCAM,46.41202624072312,368,1.4346177132775033,0.030910463631050655,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
TAFA2,44.89333855518936,416,4.053628722525598,0.09029464958612755,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
NLK,44.57906441101924,427,2.0682128557349637,0.046394253384848747,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
FLRT2,44.10144925793533,446,2.273162388497873,0.051543928504217185,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CEMIP2,42.82962786663633,490,1.5449285527244392,0.03607148138757557,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
HIVEP1,42.65868779255655,497,1.5311474947021113,0.035892971569144255,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
AADAT,42.37593661138553,506,2.4393548609053624,0.05756461407606015,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000018969,40.611352716058676,582,1.8103786951259673,0.044578133155770854,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
MKRN2,40.32239986679646,602,0.5128899457858371,0.012719717681887732,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
SLITRK1,39.1029925063059,661,1.1647742583443197,0.029787333210535193,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
FAP,38.95522498157536,670,2.8480505031329337,0.0731108629183306,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
CCDC83,38.84261036160101,680,1.4534475785160699,0.03741888551153641,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ENSMFAG00000021768,38.7860508903342,684,2.2886242391394913,0.05900636436924095,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
ATG7,38.185217353856345,709,0.5591059676706789,0.014641938021129033,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
FBXW7,37.71806654060687,735,1.4221749499550147,0.03770539434313928,0,0.0001999600079984003,0.00034656322614856324,True,True,True,False
