sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-L-24c-8-13_BRRL200004993-1A,qbt,Cingulate gyrus,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex | Operculum/Insula,0,0,200
qbt-L-F5-8-14_BRRL200006259-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
qbt-L-F4-8-14_BRRL200006260-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex | Temporal,1,1,200
qbt-L-Prco-8-14_BRRL200006261-1A,qbt,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
qbt-L-G-8-14_BRRL200006262-1A,qbt,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-L-Ial-8-14_BRRL200006263-1A,qbt,Operculum/Insula,Operculum/Insula,Operculum/Insula | Temporal | Orbitomedial Prefrontal Cortex (OMPFC),1,1,200
qbt-L-Iapm-8-14_BRRL200006264-1A,qbt,Operculum/Insula,Operculum/Insula,Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC) | Subcortical,1,1,200
qbt-R-9d-8-18_BRRL200006271-1A,qbt,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex,Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC) | Frontal (agranular frontal motor areas),1,1,200
qbt-R-46d-8-18_BRRL200006272-1A,qbt,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-R-46v-8-18_BRRL200006273-1A,qbt,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-R-F4-8-19_BRRL200006274-1A,qbt,Frontal (agranular frontal motor areas),Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,0,200
qbt-R-Prco-8-19_BRRL200006275-1A,qbt,Operculum/Insula,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,0,200
qbt-R-G-8-19_BRRL200006276-1A,qbt,Operculum/Insula,Temporal,Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Operculum/Insula,0,1,200
qbt-R-Iapl-8-19_BRRL200006277-1A,qbt,Operculum/Insula,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-L-5-8-24_BRRL200007485-1A,qbt,"Parietal, and Parieto-occipital region",Lateral Prefrontal Cortex,"Lateral Prefrontal Cortex | Temporal | Parietal, and Parieto-occipital region",0,1,200
qbt-L-7b-8-24_BRRL200007486-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
qbt-L-7op-8-24_BRRL200007487-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Lateral Prefrontal Cortex | Parietal, and Parieto-occipital region",0,1,200
qbt-L-AI-8-24_BRRL200007488-1A,qbt,Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",1,1,200
