"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000005726",12.533201639767,0.0354152203278548,0.105489001733689,14.322041876705,0.111321884585771,0.115331483075,"RF00322","snoRNA"
"ENSMFAG00000004263",2.96578791274946,-0.0735290868131113,0.201114678939006,14.3106725546709,0.111695230857941,0.115712201149204,"RF00026","snRNA"
"ENSMFAG00000007859",9.39043563787169,-0.105407183755482,0.125743042960599,14.3042306547841,0.111907251981956,0.115925761030447,"RF00017","misc_RNA"
"ENSMFAG00000041211",4.92494419450169,-0.0516522471759239,0.139032031066879,14.3005578150419,0.112028291703952,0.11604505495839,"ENSMFAG00000041211","pseudogene"
"ENSMFAG00000037599",1356.91824930512,0.0758027225918421,0.056233221520326,14.2720125164888,0.112972888040225,0.117017376735418,"TMEM56","protein_coding"
"ENSMFAG00000014016",2.40353668384194,-0.281108428465776,0.313845431948151,14.2690372418979,0.11307173937501,0.117113619303328,"RF00017","misc_RNA"
"ENSMFAG00000003465",1135.52505423437,-0.0411251307082628,0.050751316680254,14.2645253822175,0.113221785638342,0.117262873935323,"ENSMFAG00000003465","protein_coding"
"ENSMFAG00000005987",10.4663865092454,-0.208201662315243,0.114862049298884,14.2576904614689,0.113449416155286,0.117492462057214,"ENSMFAG00000005987","miRNA"
"ENSMFAG00000001597",13.6906774615422,0.208549296816194,0.124445492034398,14.2382117352272,0.114100312498835,0.11816035300866,"ENSMFAG00000001597","protein_coding"
"ENSMFAG00000016196",2.89924728414901,-0.274461590104867,0.210799674009027,14.2356883366024,0.114184869890436,0.118241713601579,"ENSMFAG00000016196","miRNA"
"ENSMFAG00000026637",6.74714618572685,0.0916322672721702,0.157948051097272,14.2309483973095,0.114343848730953,0.118400127159906,"ENSMFAG00000026637","protein_coding"
"ENSMFAG00000016274",1.97977876574274,-0.579656444492901,0.238096419685295,14.2193719205429,0.114732932470886,0.118796779320749,"ENSMFAG00000016274","miRNA"
"ENSMFAG00000033926",12.3235169294612,-0.19096102395861,0.129139873976524,14.1947056982972,0.115565783120291,0.11965285090406,"ENSMFAG00000033926","protein_coding"
"ENSMFAG00000038881",130.759014175767,-0.117023279750466,0.0549640158017019,14.1903195353943,0.115714427363752,0.119800465960521,"AOC2","protein_coding"
"ENSMFAG00000002901",59.8322671442467,0.0537896228314806,0.0809227442394377,14.1690514629054,0.116437534739858,0.120542782554401,"ENSMFAG00000002901","protein_coding"
"ENSMFAG00000041284",1.54639454684698,-0.354876468068486,0.349881188148921,14.1467037435423,0.117201553237325,0.121327372565915,"ENSMFAG00000041284","protein_coding"
"ENSMFAG00000034387",7.24201605943464,0.0993670478266032,0.127746535807862,14.1383064535012,0.11748975472703,0.121619339013417,"ENSMFAG00000034387","protein_coding"
"ENSMFAG00000022675",4.1340102564741,-0.234293491652643,0.185656319161536,14.1365690687612,0.117549459443316,0.121674759153098,"RF00026","snRNA"
"ENSMFAG00000037528",5.86771541931123,-0.234224732883975,0.128218605683649,14.1193110373106,0.118143950082442,0.122283698228428,"ENSMFAG00000037528","protein_coding"
"ENSMFAG00000031293",3505.68130237247,0.0893075759670674,0.0489970629571617,14.1158226544212,0.118264429738667,0.122401978893437,"RPL9","protein_coding"
"ENSMFAG00000029347",16.0448187057564,-0.0551235636741867,0.0890728393167183,14.1085866422018,0.118514680742866,0.122654551579683,"ENSMFAG00000029347","protein_coding"
"ENSMFAG00000018627",10.801704265708,-0.120786578837124,0.135502694535827,14.104805010692,0.118645646713525,0.12278365243359,"GJA5","protein_coding"
"ENSMFAG00000032607",306.138401594733,0.107174208118946,0.0485890664400439,14.1041651257256,0.118667819638129,0.122800158228423,"TXNDC9","protein_coding"
"ENSMFAG00000028746",2.48008289051734,-0.0844720619973784,0.212761887922549,14.1034086220193,0.118694038177813,0.122820848567025,"ENSMFAG00000028746","protein_coding"
"ENSMFAG00000010184",19.5516201001044,0.188797586187214,0.134788714071543,14.1009049854656,0.118780843629647,0.122904226874682,"RF02216","misc_RNA"
"ENSMFAG00000043194",5.84764435451994,-0.332178853305802,0.15411975228217,14.0848478931375,0.119338873444619,0.123475153416665,"TSSK3","protein_coding"
"ENSMFAG00000009554",2.16402988677361,0.0628118850921308,0.259673265610903,14.0625452393438,0.120117702205694,0.124274459937225,"RF00100","misc_RNA"
