"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000032525","Subcortical",0.243075341900353,"TPR","protein_coding"
"ENSMFAG00000033358","Subcortical",0.191724353951685,"ODR4","protein_coding"
"ENSMFAG00000029066","Cingulate gyrus",0.857157193145309,"PTGS2","protein_coding"
"ENSMFAG00000043784","Frontal (agranular frontal motor areas)",0.413797794512283,"PLA2G4A","protein_coding"
"ENSMFAG00000045708","Orbitomedial Prefrontal Cortex (OMPFC)",0.613586733271919,"BRINP3","protein_coding"
"ENSMFAG00000013978","Lateral Prefrontal Cortex",0.0996979763763534,"ENSMFAG00000013978","protein_coding"
"ENSMFAG00000033041","Subcortical",0.851156026433076,"RGS18","protein_coding"
"ENSMFAG00000036716","Subcortical",1.15721807449425,"RGS1","protein_coding"
"ENSMFAG00000033433","Subcortical",0.678432230509958,"RGS2","protein_coding"
"ENSMFAG00000023005","Parietal, and Parieto-occipital region",0.292290745064974,"ENSMFAG00000023005","protein_coding"
"ENSMFAG00000038349","Parietal, and Parieto-occipital region",0.0859813141927527,"UCHL5","protein_coding"
"ENSMFAG00000005319","Cingulate gyrus",0.231687171774798,"RF01233","snoRNA"
"ENSMFAG00000016020","Subcortical",0.207460792610183,"RO60","protein_coding"
"ENSMFAG00000038709","Frontal (agranular frontal motor areas)",0.141243418933175,"GLRX2","protein_coding"
"ENSMFAG00000042168","Subcortical",0.132814760148288,"CDC73","protein_coding"
"ENSMFAG00000030327","Operculum/Insula",0.419709769781859,"B3GALT2","protein_coding"
"ENSMFAG00000025647","Hippocampal formation",0.182906754387798,"ENSMFAG00000025647","pseudogene"
"ENSMFAG00000030817","Hippocampal formation",0.893994498920613,"KCNT2","protein_coding"
"ENSMFAG00000033168","Orbitomedial Prefrontal Cortex (OMPFC)",0.493632444027477,"ENSMFAG00000033168","protein_coding"
"ENSMFAG00000039896","Subcortical",0.243494821127671,"CFH","protein_coding"
"ENSMFAG00000044554","Occipital/Temporal",0.373138324797681,"ASPM","protein_coding"
"ENSMFAG00000042390","Orbitomedial Prefrontal Cortex (OMPFC)",0.0994877137173761,"ZBTB41","protein_coding"
"ENSMFAG00000037248","Hippocampal formation",0.343843693128665,"CRB1","protein_coding"
"ENSMFAG00000040708","Subcortical",0.447999032160185,"DENND1B","protein_coding"
"ENSMFAG00000009741","Subcortical",0.217096841004876,"RF00019","misc_RNA"
"ENSMFAG00000033918","Occipital/Temporal",0.316036248607736,"ENSMFAG00000033918","protein_coding"
